Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Zoledronic acid CTD 00003127	3/426	0.000183	0.025887865	0	0	46.26713948	398.1879873	GZMB;CD27;IL2RG
aspirin CTD 00005447	3/562	0.000414	0.03192734	0	0	34.76744186	270.8010675	LCK;IL7R;IL2RG
Bortezomib CTD 00003736	3/879	0.001531273	0.037342525	0	0	21.82420091	141.4569635	GZMB;CD27;IL7R
alsterpaullone CTD 00003709	44580	0.005687116	0.037342525	0	0	221.9555556	1147.410799	LCK
Teriflunomide CTD 00002799	44581	0.005985691	0.037342525	0	0	210.2631579	1076.207481	LCK
purvalanol A CTD 00004150	44582	0.006284191	0.037342525	0	0	199.74	1012.625496	LCK
dichlorvos CTD 00004426	44591	0.008967338	0.037342525	0	0	137.6896552	649.0919521	GZMB
ZIRAM CTD 00007014	44591	0.008967338	0.037342525	0	0	137.6896552	649.0919521	GZMB
Cobalt sulfate CTD 00001238	1/33	0.009860378	0.037342525	0	0	124.7625	576.3067827	IL7R
Pemetrexed CTD 00003054	1/34	0.010157909	0.037342525	0	0	120.9757576	555.2185649	IL7R
kenpaullone CTD 00003686	1/34	0.010157909	0.037342525	0	0	120.9757576	555.2185649	LCK
4-Hydroxytamoxifen CTD 00000850	2/587	0.0119261	0.037342525	0	0	16.58888889	73.47262047	LCK;IL7R
methotrexate CTD 00006299	2/620	0.013246778	0.0377035	0	0	15.6763754	67.78466122	CD2;LCK
Crizotinib CTD 00004714	1/48	0.014315529	0.037862566	0	0	84.88085106	360.4389302	LCK
2-Mercaptobenzothiazole CTD 00000240	1/48	0.014315529	0.037862566	0	0	84.88085106	360.4389302	IL7R
alpha-Tocopherol CTD 00007387	1/59	0.017572014	0.041788907	0	0	68.74482759	277.8286292	LCK
Vitinoin CTD 00007069	2/781	0.020573845	0.045845654	0	0	12.33311938	47.89856363	CD2;LCK
Sodium dodecyl sulfate CTD 00006753	1/73	0.021703663	0.047613462	0	0	55.33888889	211.9631207	IL7R
