geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
A1CF	190.498	235.157	275.108	233.592	225.413	244.809	282.163	178.05	169.029	98.7044	133.544	195.633	226.688	205.375	197.187	227.226	266.324	158.974	152.87	114.74	201.689
A2M	9714.11	9136.96	10259.8	3835.92	6825.96	7329.48	8330.7	7587.02	8703.69	7509.67	6676.64	7730.7	8211.76	8268.82	8152.4	5768.82	3718.83	11731.5	9162.16	8088.45	9098.64
A4GALT	148.533	337.718	118.455	83.858	297.64	273.913	162.625	206.924	271.695	317.588	198.036	224.493	193.068	208.961	214.419	285.23	90.5289	478.298	353.121	446.39	261.373
A4GNT	286.824	191.108	166.47	153.82	216.526	100.443	146.067	117.974	189.406	98.4057	101.988	96.7412	159.091	220.52	186.536	180.377	123.731	157.024	132.166	172.188	213.736
AAAS	138.127	169.162	275.023	55.1358	97.6409	117.794	234.918	173.7	234.865	207.89	145.513	148.36	362.953	297.441	272.402	260.354	145.414	396.506	328.971	294.181	328.613
AACS	393.772	470.084	518.463	536.152	614.1	358.532	367.265	449.924	353.341	348.405	242.689	342.029	415.172	419.813	390.75	423.079	614.407	298.489	448.479	431.477	392.647
AADAC	7.57806	25.0606	17.1496	23.7656	18.919	27.1539	18.8658	18.055	39.0351	18.1168	8.80338	13.5183	9.34293	21.7102	15.0136	19.2486	21.804	5.14882	14.0299	22.6162	21.7312
AAGAB	192.49455	234.13085	162.49305	208.8983	212.52575	243.17325	257.91655	290.0682	165.92175	178.43005	219.31005	212.1007	261.61035	174.0755	168.0229	181.58995	241.7743	189.15395	199.1112	201.0595	182.7789
AAK1	204.066024	190.005392	149.748746	165.46092	165.692788	130.046088	170.336878	180.070714	130.260114	130.84112	162.767004	137.159434	223.543902	171.407118	157.827512	148.899924	167.46648	133.096928	213.69922	180.024762	197.328074
AAMDC	187.3337	312.451716666667	417.3729	159.394066666667	230.790383333333	272.18571	207.118393333333	199.82689	270.48515	266.185396666667	240.706166666667	284.678283333333	250.290133333333	262.069243333333	200.626166666667	241.26511	173.917596666667	283.795133333333	392.00937	305.1723	306.26542
AAMP	496.565	476.929	492.82	674.686	468.607	420.745	466.934	465.667	444.495	469.41	411.924	363.763	543.091	406.486	429.568	533.578	608.287	557.954	660.943	584.256	674.208
AANAT	2.9399	3.23434	5.65352	10.3123	6.87249	6.45889	13.5982	7.03585	3.07293	9.43214	3.558	6.38833	7.15331	5.38908	9.23643	6.97004	6.50864	4.95648	8.25281	3.53917	6.86465
AAR2	632.928	638.031	599.159	645.468	673.716	580.509	659.782	607.188	677.224	622.858	541.08	503.061	737.366	619.955	520.304	583.145	675.479	699.302	627.857	714.845	534.63
AARS	1449.14	2133.7	1575.9	1357.14	2072.77	1834.49	1869.23	1411.2	1544.83	2047.82	1862.13	2028.48	2328.94	1705.18	1814.3	2056.89	1695.63	1968.16	2377.67	2059.85	2115.15
AASDHPPT	581.3915	486.3955	639.9835	913.082	420.259	699.2945	591.7345	629.1475	617.0815	553.228	464.3465	577.823	530.9795	659.9665	718.1185	445.436	960.271	342.908	333.958	330.301	421.2515
AASS	138.2415	100.4041	251.3305	96.21335	69.6304	47.73255	36.87205	53.06195	48.3272	100.17165	39.19225	90.07475	67.73985	90.00895	61.9542	50.50215	180.0015	27.470265	103.48335	95.59465	101.86105
AATF	537.575	580.495	605.016	1592.33	688.167	731.214	705.852	658.403	748.834	519.905	823.456	549.839	748.277	558.386	575.598	358.561	782.707	530.674	579.931	601.903	491.798
AATK	473.251	170.212	345.21	659.908	217.293	272.721	319.067	213.808	277.318	210.355	117.589	183.625	280.384	152.494	214.126	240.857	245.217	294.031	251.12	270.479	254.342
ABAT	111.372333333333	195.113333333333	150.526	68.9085333333333	143.952666666667	99.5690666666667	131.9063	149.934466666667	61.9356666666667	112.958066666667	103.7809	136.426033333333	110.276466666667	101.460233333333	112.207	75.4637666666667	66.5851	97.5859333333333	155.852266666667	150.743166666667	87.8231666666667
ABCA1	795.5643	1186.7518	1485.24991666667	1323.2787	562.322	1651.7129	854.674466666666	850.058833333333	839.878666666667	764.757466666667	1114.8558	816.755466666667	688.863333333333	790.690833333333	1451.23006666667	1053.38633333333	1198.4321	805.255733333333	1089.52066666667	1076.5505	730.159
