geneNames	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332221	GSM1332222	GSM1332223	GSM1332224	GSM1332225	GSM1332226	GSM1332227	GSM1332228	GSM1332229	GSM1332230
A1CF	113.2	79	146.2	131.1	156.8	137.5	186.5	196.3	132.9	150.1	139.8	116.2	118.7	112.5	186.9	176.4	188.4	141.2	152.3	147.6
A2M	1422.2	1847.4	2478.5	1707.6	2798.2	2695.2	3275.6	2505	2755.1	1781	1919	2238.6	2880.7	1879	2381.6	2843.9	2874.2	2519	2642.9	2147.1
A4GALT	44.4	48.2	62.7	98.4	98	39.8	132.1	155.7	58.2	75.1	59.8	49.3	50.5	13	37.8	14.2	67.6	42.4	47.6	41.2
A4GNT	55.8	43.5	102.9	66.4	57.5	52.4	80.6	74.9	70.6	95.4	109.8	86.3	29.1	66.3	55.3	66.9	13.9	64.5	63.4	5.2
AAAS	9.5	60.3	19.4	53.5	21.2	9.8	23.9	17.6	27.8	30.9	23.5	13.5	47.2	35	15.9	10.8	22.2	77.2	44.2	57
AACS	276.2	274.2	195.9	346.4	257.5	158.4	145.2	151.6	177.4	377.3	219.8	184.8	127.8	115.4	175.2	220.8	116.1	174.8	139.2	201.5
AADAC	4.8	10.5	2.1	6.2	5.7	6.8	8.9	13.8	4.3	13.4	5.6	8.4	5.1	5.2	10.2	13.4	7.4	4.9	12	5.8
AAGAB	55.35	64.15	29.7	68.95	55.25	47.25	58.05	28.9	37.8	59.8	38.7	84.7	64.95	70	50	51.15	30.4	44.15	58	40.35
AAK1	26.5	41.3	34.4	38.6	75.98	48.3	55.16	63.26	45.58	55.44	22.88	37.82	55.64	53.44	80.22	79.32	86.16	78.14	82.66	55.48
AAMDC	66.6666666666667	81.3333333333333	101.566666666667	64.5	43.7666666666667	66.1333333333333	51.8333333333333	62.6	73.7666666666667	83.4333333333333	40.9	54.0333333333333	57.6333333333333	49.6333333333333	31.4333333333333	57.0666666666667	48.1333333333333	55.0333333333333	62.7666666666667	39.4666666666667
AAMP	169.8	251	187.6	204.7	235.2	116.7	174.7	140.3	225	276.4	165.5	205.7	187.3	162.1	160.5	147.1	145.4	200	189.1	176.8
AANAT	2.5	1.5	2	3.6	3.4	2.5	2.1	6	2.2	4.3	3.1	2.4	3.9	2.6	4	3.9	2.4	3.2	3.1	1.8
AAR2	196.4	222.3	234.4	203.6	242.8	161.1	246.4	261	239.9	250.4	191.7	164.7	215.4	224.1	269	251.6	222.1	256.2	224.4	236.6
AARS	522.9	496.9	566.6	571.7	524.8	345.6	832.5	537	458.4	650.7	484.5	377.6	516.5	483.6	665.8	474.3	475.7	583.6	572	516.5
AASDHPPT	239.9	258.55	230.9	176.4	196.15	294	212	130.45	253.3	183.85	247.1	204.35	187.75	194.5	201.15	277	212.1	207.05	222.1	218.8
AASS	54.35	107.7	37.9	57.75	97.6	78	58.45	56.95	81.5	79.95	9.5	20.25	30.55	22.4	34.9	27.2	43.4	27.1	26.3	10.15
AATF	209.7	246	270.6	274.4	283.4	190.2	265.3	256.3	351.5	173	183	153.7	255.8	205.9	211.9	228.1	145.6	263.9	232.3	238
AATK	63.8	34.9	122.9	76.1	108.5	85.7	146.2	117.3	79.2	88	74.2	67.4	82	59.2	21.6	87.7	98.6	102.2	97.4	86.3
ABAT	112.266666666667	120.7	102.933333333333	60.8333333333333	35.5	42.3333333333333	19.1	9.9	74.8	45	57.0333333333333	69.3	27.6666666666667	37.5666666666667	23.1666666666667	61.1333333333333	40.1333333333333	29.0333333333333	54.7666666666667	39.2
ABCA1	257.5	450.433333333333	290	288.633333333333	607	502.766666666667	260.366666666667	494.2	411.3	268.733333333333	331.833333333333	383.766666666667	355.666666666667	352.966666666667	479.2	493.233333333333	511.666666666667	422.8	561.2	409.933333333333
ABCA11P	58.8	25	27.5	8.4	50.4	53.2	48.6	36.5	46.5	38.2	25.5	37.3	22.5	25.3	38.2	33	33.4	27.2	52.3	33.8
ABCA12	2.1	17	31	2	6.8	10.5	21.3	19.9	2.4	15.8	11.2	13.5	14.9	5.6	1.3	21	6.8	7.5	9.7	7.1
ABCA2	17.1	28.9333333333333	33.5666666666667	30.6666666666667	38	32.7666666666667	25.9	47.7	45.7666666666667	51.2666666666667	27.4666666666667	31.3666666666667	41.9333333333333	43.1333333333333	44.3666666666667	54.1333333333333	57.5333333333333	62.5	46.3333333333333	52.9
ABCA3	12	41.8	48.1	45	19.1	11	26.4	7.3	25.6	47.8	39.5	22.4	26.4	28.6	15.2	16.2	36.1	27.2	30.2	18.2
ABCA4	12.6	9.3	15.1	10.9	25.4	12.3	22.6	28.1	13.8	21.6	16.9	12.5	12.6	9.5	15.9	10.7	17.1	5.2	18.5	8.3
ABCA5	87.9	109.9	176.3	122.9	71.3	148.3	97.1	100	126.7	135.7	35.8	50.4	55.8	39.8	42.2	75.2	48.5	52.8	75.7	44.1
ABCA6	167	146.5	153.7	45.8	77.1	94.6	28.3	72.6	160.9	104.3	69	189.8	154.1	85.9	46.5	73.9	125	91	248.4	64.6
ABCA7	33	42	62.3	82.5	59	50.6	50.8	86.4	71.3	77.6	45.6	56.4	58.1	55.6	67.6	66.9	54.2	57.2	71.5	66.8
ABCA8	658.5	471.8	705.2	127.7	310	807.2	159	285.9	463.6	236.2	116.3	101.1	259.2	84.3	47.9	234.4	55.3	111.6	55.5	66.4
ABCB1	80.3	40.8	75.4	61.2	59.5	89.4	31.7	73.8	36.5	62	65.2	63.6	36.1	40	31.5	78.9	31.3	54.8	54	35.7
ABCB11	16.8	19.3	15.8	4.95	6.05	8.85	9.45	11.7	5.9	6.75	11.6	21.75	27.1	17.5	9.85	7.4	4.95	4.45	7.85	7.15
ABCB4	6.8	1.8	16.9	7.7	3.8	9.3	4	9.5	1.9	17.7	20.5	44.1	15.4	25	2.3	13.5	8.3	2.1	10.6	1.9
ABCB6	27.25	23	69.45	50.1	24.7	34.1	50.45	38.6	54.1	84.8	40.25	47.55	50.95	41.95	56.05	35.5	56.6	84.45	60.45	66.9
ABCB7	64.6	77.6	109.7	67.1	52.1	70.3	32.2	77.2	90.6	36.5	48	73.1	65.2	92	30.5	84.9	37.9	46.2	64.6	42.5
ABCB8	2.7	2.4	6	4.8	3.1	2	3.7	4.6	3.4	4.5	2.8	3.2	8.7	3.1	3.8	2.6	3.1	2.5	5.2	3.1
