geneNames	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337314	GSM1337315	GSM1337316	GSM1337317	GSM1337318	GSM1337319	GSM1337320	GSM1337321	GSM1337322	GSM1337323	GSM1337324	GSM1337325	GSM1337326
A1CF	190.5	235.2	275.1	233.6	266.3	137.1	159	152.9	114.7	201.7	225.4	244.8	282.2	178.1	169	98.7	133.5	195.6	120.4	226.7	205.4	197.2	227.2
A2M	9714.1	9137	10259.8	3835.9	3718.8	6682	11731.5	9162.2	8088.5	9098.6	6826	7329.5	8330.7	7587	8703.7	7509.7	6676.6	7730.7	7684	8211.8	8268.8	8152.4	5768.8
A4GALT	148.5	337.7	118.5	83.9	90.5	356.6	478.3	353.1	446.4	261.4	297.6	273.9	162.6	206.9	271.7	317.6	198	224.5	217.4	193.1	209	214.4	285.2
A4GNT	286.8	191.1	166.5	153.8	123.7	100.7	157	132.2	172.2	213.7	216.5	100.4	146.1	118	189.4	98.4	102	96.7	77.8	159.1	220.5	186.5	180.4
AAAS	138.1	169.2	275	55.1	145.4	275.6	396.5	329	294.2	328.6	97.6	117.8	234.9	173.7	234.9	207.9	145.5	148.4	283.9	363	297.4	272.4	260.4
AACS	393.8	470.1	518.5	536.2	614.4	913.4	298.5	448.5	431.5	392.6	614.1	358.5	367.3	449.9	353.3	348.4	242.7	342	317.7	415.2	419.8	390.8	423.1
AADAC	7.6	25.1	17.1	23.8	21.8	31.7	5.1	14	22.6	21.7	18.9	27.2	18.9	18.1	39	18.1	8.8	13.5	11.5	9.3	21.7	15	19.2
AAGAB	192.5	234.15	162.45	208.9	241.75	221.7	189.15	199.1	201.05	182.75	212.55	243.15	257.9	290.05	165.9	178.45	219.3	212.1	192.85	261.6	174.1	168.05	181.6
AAK1	204.06	190	149.74	165.46	167.48	115.06	133.12	213.7	180.02	197.32	165.66	130.06	170.34	180.08	130.26	130.82	162.76	137.14	212.64	223.56	171.4	157.84	148.9
AAMDC	187.333333333333	312.433333333333	417.366666666667	159.366666666667	173.9	369.333333333333	283.8	392	305.166666666667	306.266666666667	230.8	272.2	207.133333333333	199.8	270.466666666667	266.2	240.7	284.666666666667	257.066666666667	250.3	262.066666666667	200.633333333333	241.266666666667
